Date,SPY,SHY,VIX,RV,IV,VRP,VRP_pct,w_SPY,w_SHY,ret_gross,ret_net
2008-04-28,100.77505493164062,63.73738479614258,19.639999389648438,0.030879991962602382,0.0385729576025391,0.007692965639936718,0.5595238095238095,0.0,1.0,0.0010821847477857638,0.0010821847477857638
2008-04-29,100.3780746459961,63.722042083740234,20.239999771118164,0.031424288038195115,0.04096575907348633,0.009541471035291217,0.6904761904761905,0.0,1.0,-0.00024071763300947957,-0.00024071763300947957
2008-04-30,99.7862777709961,63.844642639160156,20.790000915527344,0.018384848116461884,0.043222413806762776,0.024837565690300892,0.921957671957672,0.0,1.0,0.0019239897437499653,0.0019239897437499653
2008-05-01,101.85043334960938,63.731056213378906,18.8799991607666,0.023140383116977303,0.03564543683105476,0.012505053714077459,0.8095238095238095,0.0,1.0,-0.0017791066107648579,-0.0017791066107648579
2008-05-02,102.13192749023438,63.646663665771484,18.18000030517578,0.023148028630209184,0.03305124110961915,0.009903212479409965,0.7182539682539683,0.6439635261068188,0.35603647389318116,-0.0013241981636843425,-0.0014529908689057062
2008-05-05,101.6411361694336,63.715694427490234,18.899999618530273,0.023560325283876037,0.03572099855804444,0.012160673274168404,0.798941798941799,0.6439635261068188,0.35603647389318116,-0.002708388800317285,-0.002708388800317285
2008-05-06,102.52164459228516,63.75407409667969,18.209999084472656,0.024178688342300324,0.0331604066656495,0.008981718323349173,0.6494708994708994,0.6439635261068188,0.35603647389318116,0.005793062133767086,0.005793062133767086
2008-05-07,100.69567108154297,63.830841064453125,19.729999542236328,0.028804592315561955,0.038927288193664575,0.01012269587810262,0.7275132275132276,0.6439635261068188,0.35603647389318116,-0.011040678891830037,-0.011040678891830037
2008-05-08,100.43585968017578,63.88457107543945,19.399999618530273,0.02810135286648342,0.03763599851989747,0.00953464565341405,0.6825396825396826,0.6439635261068188,0.35603647389318116,-0.0013618359288508793,-0.0013618359288508793
2008-05-09,100.24816131591797,63.907527923583984,19.40999984741211,0.02820940732717835,0.03767480940765381,0.00946540208047546,0.6759259259259259,0.67985111118157,0.32014888881842996,-0.0010755222893532943,-0.0010826998063682446
2008-05-12,101.37407684326172,63.784759521484375,17.790000915527344,0.023599140587199106,0.03164841325744637,0.008049272670247264,0.5727513227513228,0.67985111118157,0.32014888881842996,0.007020584376910595,0.007020584376910595
2008-05-13,101.38851165771484,63.677364349365234,17.979999542236328,0.023229452558772262,0.03232803835388185,0.009098585795109589,0.6547619047619048,0.67985111118157,0.32014888881842996,-0.00044223349110396836,-0.00044223349110396836
2008-05-14,101.59778594970703,63.63129806518555,17.65999984741211,0.023232342397248463,0.03118755946105957,0.007955217063811106,0.5634920634920635,0.67985111118157,0.32014888881842996,0.00117166288750142,0.00117166288750142
2008-05-15,102.86807250976562,63.68500900268555,16.299999237060547,0.016993888927497123,0.026568997512817442,0.009575108585320319,0.6838624338624338,0.67985111118157,0.32014888881842996,0.008770478090850983,0.008770478090850983
2008-05-16,102.96189880371094,63.70040512084961,16.469999313354492,0.01700408489794037,0.027126087738189742,0.010122002840249372,0.7261904761904762,0.7357436679302419,0.26425633206975807,0.0006974916837753963,0.0006863131724256619
2008-05-19,103.24335479736328,63.76939010620117,17.010000228881836,0.016073576599329786,0.02893401077865601,0.012860434179326224,0.8148148148148148,0.7357436679302419,0.26425633206975807,0.0022974032401133155,0.0022974032401133155
2008-05-20,102.40615844726562,63.86151885986328,17.579999923706055,0.017197702284440723,0.03090563973175049,0.013707937447309766,0.8293650793650794,0.7357436679302419,0.26425633206975807,-0.00558434105193815,-0.00558434105193815
2008-05-21,100.67398834228516,63.79246139526367,18.59000015258789,0.020884775029066893,0.03455881056732178,0.01367403553825489,0.8267195767195767,0.7357436679302419,0.26425633206975807,-0.012730645079304494,-0.012730645079304494
2008-05-22,100.68840789794922,63.615997314453125,18.049999237060547,0.0208277835549277,0.03258024724578863,0.011752463690860932,0.7777777777777778,0.7357436679302419,0.26425633206975807,-0.0006256108438769,-0.0006256108438769
2008-05-23,99.3388671875,63.738739013671875,19.549999237060547,0.022969358961395125,0.0382202470169068,0.015250888055511676,0.8452380952380952,0.7291493377733957,0.27085066222660426,-0.00935141423446233,-0.0093527331004937
2008-05-27,100.074951171875,63.66967010498047,19.639999389648438,0.022574124435424902,0.0385729576025391,0.015998833167114198,0.8571428571428571,0.7291493377733957,0.27085066222660426,0.005109371031091541,0.005109371031091541
2008-05-28,100.53684997558594,63.5545768737793,19.06999969482422,0.02286476050742532,0.03636648883605958,0.01350172832863426,0.8174603174603174,0.7291493377733957,0.27085066222660426,0.0028758032557337524,0.0028758032557337524
2008-05-29,101.0420913696289,63.53153610229492,18.139999389648438,0.02296236032505299,0.03290595778564456,0.009943597460591574,0.705026455026455,0.7291493377733957,0.27085066222660426,0.003566099625242857,0.003566099625242857
2008-05-30,101.29467010498047,63.6236686706543,17.829999923706055,0.022491364982669255,0.03179088972793579,0.009299524745266536,0.6534391534391535,0.7988333692946824,0.2011666307053176,0.002215466104048786,0.002201529297744529
2008-06-02,100.24816131591797,63.749061584472656,19.829999923706055,0.01855236775462866,0.03932288969741821,0.020770521942789555,0.8941798941798942,0.7988333692946824,0.2011666307053176,-0.007856542231927796,-0.007856542231927796
2008-06-03,99.66361999511719,63.841339111328125,20.239999771118164,0.01867904542905308,0.04096575907348633,0.022286713644433253,0.9034391534391535,0.7988333692946824,0.2011666307053176,-0.004366760796287746,-0.004366760796287746
