Date,port_ret,loss,VaR,ES,u,p_u,xi,beta,fit_method,breach
2010-04-27,-0.014346839687733426,0.014346839687733426,,,,,,,,0
2010-04-28,0.0010933021547746558,-0.0010933021547746558,,,,,,,,0
2010-04-29,0.011086817568816798,-0.011086817568816798,,,,,,,,0
2010-04-30,-0.008299300535343224,0.008299300535343224,,,,,,,,0
2010-05-03,0.007975695022351237,-0.007975695022351237,,,,,,,,0
2010-05-04,-0.020247348070178917,0.020247348070178917,,,,,,,,0
2010-05-05,-0.007509202574201679,0.007509202574201679,,,,,,,,0
2010-05-06,-0.01880184364773324,0.01880184364773324,,,,,,,,0
2010-05-07,-0.009705165420599071,0.009705165420599071,,,,,,,,0
2010-05-10,0.03251581071632076,-0.03251581071632076,,,,,,,,0
2010-05-11,-0.0009288129542091572,0.0009288129542091572,,,,,,,,0
