Date,NAV
2025-04-04,64338.26821899414
2025-04-07,64613.001693725586
2025-04-08,63137.27894592285
2025-04-09,71661.11889648438
2025-04-10,68557.10935974121
2025-04-11,70472.48701477051
2025-04-14,70686.31756591797
2025-04-15,70478.83842468262
2025-04-16,67564.51824951172
2025-04-17,66903.07441711426
2025-04-21,64978.3258972168
2025-04-22,66722.58996582031
2025-04-23,68731.8521270752
2025-04-24,70746.39866638184
2025-04-25,72049.5032043457
2025-04-28,71556.92803955078
2025-04-29,71747.47793579102
2025-04-30,71596.27651977539
2025-05-01,73771.21041870117
2025-05-02,74138.98789978027
2025-05-05,73329.00065612793
2025-05-06,72996.90176391602
2025-05-07,72912.26545715332
2025-05-08,73643.18672180176
2025-05-09,73602.65466308594
2025-05-12,77384.16957092285
2025-05-13,78903.05877685547
2025-05-14,80146.1508026123
2025-05-15,79608.50773620605
2025-05-16,79892.02569580078
2025-05-19,79960.0101776123
2025-05-20,79297.62733459473
2025-05-21,78381.93103027344
2025-05-22,78849.98609924316
2025-05-23,77664.12684631348
2025-05-27,79727.91911315918
2025-05-28,79387.59327697754
2025-05-29,80136.98960876465
2025-05-30,79567.79075622559
2025-06-02,79999.9672088623
2025-06-03,80538.08255004883
2025-06-04,80864.82418823242
2025-06-05,80585.2806854248
2025-06-06,81932.99208068848
2025-06-09,82364.19352722168
2025-06-10,82797.77700805664
2025-06-11,82008.35060119629
2025-06-12,82527.48439025879
2025-06-13,81540.9635925293
2025-06-16,82684.1915435791
2025-06-17,82198.9330291748
2025-06-18,82258.83403015137
2025-06-20,81637.95071411133
2025-06-23,81884.25549316406
2025-06-24,82927.84463500977
2025-06-25,84319.53979492188
2025-06-26,85104.03283691406
2025-06-27,86207.93453979492
2025-06-30,86218.6145324707
2025-07-01,85519.29872131348
2025-07-02,86609.26058959961
2025-07-03,87612.21127319336
2025-07-07,86950.27893066406
2025-07-08,86771.33921813965
2025-07-09,87932.34133911133
2025-07-10,88191.65065002441
2025-07-11,88636.80928039551
2025-07-14,88419.9243927002
2025-07-15,89696.1019897461
2025-07-16,89724.91328430176
2025-07-17,90288.85949707031
2025-07-18,90463.19274902344
2025-07-21,90919.62252807617
2025-07-22,90144.4925994873
2025-07-23,90735.03289794922
2025-07-24,91750.50314331055
2025-07-25,91837.44554138184
2025-07-28,92378.63772583008
2025-07-29,92040.24436950684
2025-07-30,92486.86665344238
2025-07-31,92896.64680480957
2025-08-01,90006.15127563477
2025-08-04,91676.37828063965
2025-08-05,91183.31065368652
2025-08-06,92727.18664550781
2025-08-07,93397.01922607422
2025-08-08,94746.61418151855
2025-08-11,94366.26892089844
2025-08-12,95172.31506347656
2025-08-13,95002.5563659668
2025-08-14,95590.39846801758
2025-08-15,95220.61320495605
2025-08-18,95305.57147216797
2025-08-19,93631.82417297363
2025-08-20,92666.35090637207
2025-08-21,92389.45890808105
2025-08-22,94055.75886535645
2025-08-25,94273.2533416748
2025-08-26,94639.48780822754
2025-08-27,94931.12084960938
2025-08-28,95393.68687438965
2025-08-29,94193.67942810059
2025-09-02,93060.99754333496
2025-09-03,94947.04756164551
2025-09-04,96064.3585357666
2025-09-05,94762.22373962402
2025-09-08,95138.44981384277
2025-09-09,95764.85844421387
2025-09-10,95742.76904296875
2025-09-11,96043.54804992676
2025-09-12,96706.11985778809
2025-09-15,97986.70732116699
2025-09-16,97548.5396270752
2025-09-17,96654.65710449219
2025-09-18,97586.78993225098
2025-09-19,98791.02778625488
2025-09-22,100202.88833618164
2025-09-23,98530.31791687012
2025-09-24,97857.09875488281
2025-09-25,97989.0477142334
2025-09-26,98282.36866760254
2025-09-29,98915.18811035156
2025-09-30,99582.74057006836
2025-10-01,100000.0
