,raw,filled,clean
2024-04-29,172.26295471191406,172.26295471191406,172.26295471191406
2024-04-30,169.1155548095703,169.1155548095703,169.1155548095703
2024-05-01,168.0928955078125,168.0928955078125,168.0928955078125
2024-05-02,171.7963104248047,171.7963104248047,171.7963104248047
2024-05-03,182.07247924804688,182.07247924804688,182.07247924804688
2024-05-06,180.41441345214844,180.41441345214844,180.41441345214844
2024-05-07,181.0994873046875,181.0994873046875,181.0994873046875
2024-05-08,181.43707275390625,181.43707275390625,181.43707275390625
2024-05-09,183.25404357910156,183.25404357910156,183.25404357910156
2024-05-10,181.99136352539062,181.99136352539062,181.99136352539062
2024-05-13,185.20269775390625,185.20269775390625,185.20269775390625
2024-05-14,186.34603881835938,186.34603881835938,186.34603881835938
2024-05-15,188.62281799316406,188.62281799316406,188.62281799316406
2024-05-16,188.74209594726562,188.74209594726562,188.74209594726562
2024-05-17,188.7719268798828,188.7719268798828,188.7719268798828
2024-05-20,189.93515014648438,189.93515014648438,189.93515014648438
2024-05-21,191.23757934570312,191.23757934570312,191.23757934570312
2024-05-22,189.7959747314453,189.7959747314453,189.7959747314453
2024-05-23,185.7992401123047,185.7992401123047,185.7992401123047
2024-05-24,188.88128662109375,188.88128662109375,188.88128662109375
2024-05-27,,188.88128662109375,188.88128662109375
2024-05-28,188.8912353515625,188.8912353515625,188.8912353515625
2024-05-29,189.18951416015625,189.18951416015625,189.18951416015625
2024-05-30,190.1837158203125,190.1837158203125,190.1837158203125
2024-05-31,191.13816833496094,191.13816833496094,191.13816833496094
2024-06-03,192.9078826904297,192.9078826904297,192.9078826904297
2024-06-04,193.2260284423828,193.2260284423828,193.2260284423828
2024-06-05,194.7372283935547,194.7372283935547,194.7372283935547
2024-06-06,193.3552703857422,193.3552703857422,193.3552703857422
2024-06-07,195.7513427734375,195.7513427734375,195.7513427734375
2024-06-10,192.0031280517578,192.0031280517578,192.0031280517578
2024-06-11,205.9519805908203,205.9519805908203,205.9519805908203
2024-06-12,211.83778381347656,211.83778381347656,211.83778381347656
2024-06-13,213.00099182128906,213.00099182128906,213.00099182128906
2024-06-14,211.2611083984375,211.2611083984375,211.2611083984375
2024-06-17,215.4169464111328,215.4169464111328,215.4169464111328
2024-06-18,213.0507049560547,213.0507049560547,213.0507049560547
2024-06-19,,213.0507049560547,213.0507049560547
2024-06-20,208.46734619140625,208.46734619140625,208.46734619140625
2024-06-21,206.29002380371094,206.29002380371094,206.29002380371094
2024-06-24,206.93626403808594,206.93626403808594,206.93626403808594
2024-06-25,207.86090087890625,207.86090087890625,207.86090087890625
2024-06-26,212.01670837402344,212.01670837402344,212.01670837402344
2024-06-27,212.86180114746094,212.86180114746094,212.86180114746094
2024-06-28,209.40191650390625,209.40191650390625,209.40191650390625
2024-07-01,215.49647521972656,215.49647521972656,215.49647521972656
2024-07-02,218.99612426757812,218.99612426757812,218.99612426757812
2024-07-03,220.2687225341797,220.2687225341797,220.2687225341797
2024-07-04,,220.2687225341797,220.2687225341797
