T,strike,iv_imp,call_price,dC_dT,d2C_dK2,sigma_loc
0.01643835616438356,145.0,1.4918525082702636,100.34999902601032,,1.869915052798987e-08,
0.01643835616438356,150.0,,,,,
0.01643835616438356,155.0,1.3019283061428069,90.34999969806486,,0.000249994875490811,
0.01643835616438356,160.0,1.296120430717468,85.37500082171084,,,
0.01643835616438356,165.0,1.2064035373449327,80.37499985766848,,0.003500006688900903,
0.01643835616438356,170.0,,,,,
0.01643835616438356,175.0,1.3964862877957822,70.7500006861622,,-0.007000018668632613,
0.01643835616438356,180.0,0.9524305809373856,65.37500085241422,,,
0.01643835616438356,185.0,0.955603931590557,60.424999647792646,,0.005750020298119695,
0.01643835616438356,190.0,,,,,
0.01643835616438356,195.0,0.9683760123186111,50.675000639235066,,,
0.01643835616438356,200.0,0.8396168923337461,45.600000808697814,,,
0.01643835616438356,205.0,,,,,
0.01643835616438356,210.0,0.716164968858242,35.72500072844221,,0.021499994746344554,
0.01643835616438356,215.0,0.6569084270596505,30.825000052610193,,,
0.01643835616438356,217.5,0.49289257069504255,28.000000122821064,,0.030750000606933836,
0.01643835616438356,220.0,0.5361053334681987,25.724999078011024,,0.0027500114371312666,
0.01643835616438356,222.5,0.5235335243065358,23.3499995778933,,-0.0019999889591966304,
0.01643835616438356,225.0,0.48756212837886814,20.89999924712498,,0.0009999973449961897,
0.01643835616438356,227.5,0.4590392253958584,18.500000137045873,,0.002249994039560765,
0.01643835616438356,230.0,0.4383605901196599,16.174999150738557,,0.0022500087204312515,
0.01643835616438356,232.5,0.41397901702737805,13.875000100154523,,0.003749989588306446,
0.01643835616438356,235.0,0.39427000011613966,11.674999926395259,,0.005499996447048544,
0.01643835616438356,237.5,0.38030061132562154,9.624999022093817,,0.004750026959346487,
0.01643835616438356,240.0,0.3675525214622915,7.725000346756815,,0.006499998648242527,
0.01643835616438356,242.5,0.342773981515199,5.85000063996776,,0.010499970070728037,
0.01643835616438356,245.0,0.338834115283519,4.425000631942623,170.19157212088905,0.010049987970485572,0.7511646946177376
0.01643835616438356,247.5,0.326228480492711,3.124999264914507,,0.009800023907575266,
0.01643835616438356,250.0,0.31866405653715135,2.1299997141769893,,0.010750012660838167,
0.01643835616438356,252.5,0.31209801018190386,1.3800002806187806,,0.009349992985130305,
0.01643835616438356,255.0,0.3143057657828331,0.9100000624951718,,0.006650001918256621,
0.01643835616438356,257.5,0.31450573932605985,0.5700005948360847,,0.0046999872803884565,
0.01643835616438356,260.0,0.31710718352699274,0.35500060263901645,,0.0034999931099195967,
0.01643835616438356,262.5,0.3239855581583977,0.22999963709223437,,0.002150018278018857,
0.01643835616438356,265.0,0.3315863409399986,0.15000045377482074,,0.0013000017810188779,
0.01643835616438356,267.5,0.34307930624699595,0.10500050715026976,,0.0007499841395388262,
0.01643835616438356,270.0,0.35497162259411813,0.07500048301251283,,0.0004500045957200749,
0.01643835616438356,272.5,0.36747429038167007,0.05499979116218778,,0.00020001466869650424,
0.01643835616438356,275.0,0.38455340187978737,0.04500097182221241,,4.998684513529252e-05,
0.01643835616438356,280.0,0.4073056823329926,0.025000542043756235,,0.0002499778838668543,
0.01643835616438356,285.0,0.44420810262584687,0.02000014514544124,,0.00015000797381893192,
0.01643835616438356,290.0,0.48965544308471676,0.019999081312010114,,2.311339284966074e-08,
0.01643835616438356,295.0,0.49917311085891725,0.010000115850563263,,5.0006894217712324e-05,
0.01643835616438356,300.0,0.5608233747129439,0.014999931919548959,,-5.000266724918489e-05,
0.01643835616438356,305.0,0.5464181270446777,0.0050007759774565175,,4.999504055114207e-05,
0.01643835616438356,310.0,0.583439756603241,0.005000515802169314,,9.998607056385832e-05,
0.01643835616438356,315.0,0.6196602998962402,0.005000940159463979,,-5.452074485767789e-09,
0.01643835616438356,320.0,0.6550988304061889,0.0049997067411755025,,1.299589750564101e-08,
0.01643835616438356,325.0,0.689831642063141,0.005000559134022864,,0.0009999930541113836,
0.01643835616438356,330.0,0.723858734867096,0.005000197269932255,,-2.9981331711725903e-09,
0.01643835616438356,335.0,1.0169347146124839,0.1049994835197201,,-0.0019999888334240002,
0.01643835616438356,340.0,0.7899674252586366,0.00500038798537189,,-7.351227187812891e-09,
0.01643835616438356,345.0,0.8220871698112491,0.004999524563017305,,0.0009999953593147319,
0.01643835616438356,355.0,0.8846291189727785,0.004999843578092744,,4.383432338217474e-09,
0.01643835616438356,360.0,0.9150703970642091,0.004999101537787681,,1.6949777491004348e-08,
0.01643835616438356,370.0,0.9744461481285094,0.00499973751404742,,2.7560331296028194e-08,
0.03561643835616438,90.0,,,,,
0.03561643835616438,95.0,,,,,
0.03561643835616438,100.0,,,,,
0.03561643835616438,110.0,,,,,
0.03561643835616438,115.0,,,,,
0.03561643835616438,120.0,1.4606244490251539,125.4250002384498,,,
0.03561643835616438,125.0,1.4249022004628182,120.44999987589026,,,
0.03561643835616438,130.0,,,,,
0.03561643835616438,135.0,,,,,
0.03561643835616438,140.0,1.2236292762398726,105.47499952181664,6.0837550984749225,,
0.03561643835616438,145.0,,,,,
0.03561643835616438,150.0,,,,,
0.03561643835616438,155.0,,,9.125558454476531,,
0.03561643835616438,160.0,1.0136850700292588,85.54999911797648,,,
0.03561643835616438,165.0,0.9010525795094968,80.50000011892442,,,
0.03561643835616438,170.0,0.879281391313076,75.5499994407484,,-0.00024999681128065057,
0.03561643835616438,175.0,0.814861896216631,70.55000041080257,,0.0007500022032311815,
0.03561643835616438,180.0,0.7338401266849042,65.52500008239224,15.969699546951347,0.0012499918952050826,0.8880496897601986
0.03561643835616438,185.0,0.7572468660068514,60.675000923003836,10.646472956202025,-0.0015000239334656885,0.05
0.03561643835616438,190.0,0.671630175328374,55.62499991355659,,-0.0005000030741413753,
0.03561643835616438,195.0,0.6216093713905813,50.649999041858536,8.365082119432143,0.00200002794554337,0.4690265840650224
0.03561643835616438,200.0,0.5707046307475565,45.67499943730681,15.20925976767361,0.004000010739576398,0.43602205982798964
0.03561643835616438,205.0,0.5549162575739025,40.82499995526757,,-0.004999999130851607,
0.03561643835616438,210.0,0.55360674379009,36.125000035014665,24.334765279183287,,
0.03561643835616438,215.0,0.3248235992963314,30.500000955591446,28.13713465800966,0.05899998691442334,0.1436450003678643
0.03561643835616438,217.5,,,,,
0.03561643835616438,220.0,0.4116305944929123,26.075000647357655,43.34641460079433,-0.0009999954123654231,0.05
0.03561643835616438,222.5,,,,,
