Date,port_index,bench_index,port_vol_ann,port_sharpe,port_sortino,port_beta,port_alpha,port_corr_bench,port_mdd_window,port_var_1d_5%,port_cvar_1d_5%,port_ann_ret_window,port_calmar
2023-08-24,169.48471999856508,119.15170661155608,0.22714585064931356,1.1594026591712236,2.1318364226586315,1.6502985690894834,-0.00016592325157811414,0.7676769008174292,-0.07537318954987526,-0.02100341383818443,-0.02783536110711024,0.2633535032625237,3.4939944141312984
2023-08-25,169.84671930439453,119.99170599464657,0.2234269525803251,1.5686868366192606,2.903551532372851,1.6053910416421289,-0.00012419947640950188,0.7589011017474273,-0.07537318954987526,-0.02100341383818443,-0.02783536110711024,0.3504869194587117,4.650021069186553
2023-08-28,171.03261086415878,120.75262957669726,0.21850538165280403,1.266749759950887,2.2930350467990523,1.5673424951827486,-0.00029819980413246577,0.7511565161818153,-0.07537318954987526,-0.02100341383818443,-0.02783536110711024,0.2767916397566664,3.672282431056076
2023-08-29,174.93511198815148,122.49807215784654,0.222951572175857,1.6045866869824064,2.9636809447990435,1.6692738080908467,-6.760553828677549e-05,0.7840272944847327,-0.07537318954987526,-0.02100341383818443,-0.02783536110711024,0.3577451245551772,4.746317977142965
2023-08-30,176.30638933397015,123.00260986986633,0.22330458425843341,1.7564283165633934,3.2476453399232676,1.673807452435626,-0.00010320003432156156,0.7852091216799091,-0.07537318954987526,-0.02100341383818443,-0.02783536110711024,0.39221849500992856,5.20368711145484
2023-08-31,177.26078463925734,122.82261795823518,0.22324738944954559,1.9129567214193934,3.526232688666257,1.6695091882722677,0.00014063866396581007,0.7840637187829779,-0.07537318954987526,-0.02100341383818443,-0.02783536110711024,0.42706259418684117,5.665974821249261
2023-09-01,177.03322417440208,123.05169701518624,0.21468865641204543,2.5095160335132225,4.841116884148292,1.6290173979131235,0.0004770707707455017,0.7926261242336335,-0.07537318954987526,-0.01992680830741855,-0.025446090998733555,0.5387646254794393,7.14796108134621
2023-09-05,177.51102032774628,122.51988676283598,0.21198611360717617,2.229396613903277,4.246598926572513,1.5937621373562092,0.0005259332252754974,0.7855804461744109,-0.07537318954987526,-0.01992680830741855,-0.025446090998733555,0.4726011238703539,6.270148930842692
2023-09-06,173.86024401205458,121.69625261758121,0.21691868427529817,1.7465319655364941,3.27233377157864,1.6239604999276498,0.0003588711134211058,0.790662415193632,-0.07537318954987526,-0.020573736759659053,-0.025446090998733555,0.37885541600892664,5.026394906085723
2023-09-07,172.24332531745085,121.32262824006001,0.21500823405160996,1.2144733840955229,2.255981843722651,1.6182803036767626,0.0002231611808343857,0.7859878261246296,-0.07537318954987526,-0.020573736759659053,-0.025446090998733555,0.26112177761706096,3.4643854025080607
2023-09-08,172.4584715318272,121.50535340345535,0.21398127708697895,1.0266680117906026,1.8980091966925057,1.6171247154463781,0.00019641771632947723,0.783532075182266,-0.07537318954987526,-0.020573736759659053,-0.025446090998733555,0.21968773230730274,2.914666788274005
