t0,proba_side,proba_meta,side,meta_gate,kelly_unsigned,pos_voltgt,ret_next,pnl_net
2024-10-11,0.6376840503397402,0.7410428503206218,1.0,1.0,0.48208570064124356,0.24663699409752543,0.01647985820184883,0.0038260470452049903
2024-10-14,0.9371230814431537,0.9966716003121407,1.0,1.0,0.5,0.2452241197407128,0.011024600855128686,0.002702791603013235
2024-10-15,0.995112803466792,0.31997127465356123,1.0,0.0,-0.36005745069287753,-0.0,-0.008851822906116524,-0.0001226120598703564
2024-10-16,0.3117556254222491,0.9319725747869365,-1.0,1.0,0.5,-0.29170307311099436,0.0015963420116462679,-0.0006115094070889002
2024-10-18,0.4672100607570632,0.3064202916680107,-1.0,0.0,-0.3871594166639786,0.0,0.00629787506078916,-0.00014585153655549717
2024-10-21,0.9914893632949182,0.21295790446747528,1.0,0.0,-0.5,-0.0,-0.002621715489902532,0.0
2024-10-23,0.9644455518809726,0.12414237650565962,1.0,0.0,-0.5,-0.0,-0.0008233558293579968,0.0
2024-10-25,0.999232832651945,0.0393331146754501,1.0,0.0,-0.5,-0.0,0.008599422659782086,-0.0
2024-10-28,0.8153570293051019,0.9967059140893362,1.0,1.0,0.5,0.33636666920490976,0.0011568287509875486,0.0002209352992077028
2024-10-30,0.7371588208393773,0.22269879285887345,1.0,0.0,-0.5,-0.0,-0.018209488262373785,-0.00016818333460245487
2024-10-31,0.9251671416597991,0.11186770496707191,1.0,0.0,-0.5,-0.0,-0.013279677549576596,0.0
2024-11-01,0.9972390012288983,0.9346090156837026,1.0,1.0,0.5,0.32004325270412803,-0.00403749272313958,-0.0014521939302349024
2024-11-04,0.6857483532862704,0.03587582463829437,1.0,0.0,-0.5,-0.0,0.006486217676457073,-0.000160021626352064
2024-11-05,0.9912593448228805,0.9972770680282022,1.0,1.0,0.5,0.3644828932991582,-0.0032669737018221623,-0.0013729974738219822
2024-11-06,0.9777974640945462,0.38859045577986434,1.0,0.0,-0.22281908844027132,-0.0,0.021372178566067213,-0.0001822414466495791
2024-11-07,0.8138007148855596,0.9621077960146075,1.0,1.0,0.5,0.3297226773147224,-0.0011882147854568315,-0.0005566426989431261
2024-11-11,0.9512422790775173,0.02460622622132123,1.0,0.0,-0.5,-0.0,0.0,-0.0001648613386573612
2024-11-13,0.9728527674835684,0.09569257612681857,1.0,0.0,-0.5,-0.0,0.01377050629962362,-0.0
2024-11-14,0.597759226255538,0.9587577128751024,1.0,1.0,0.5,0.3408502434904726,-0.014109230051908561,-0.004979559620401363
2024-11-15,0.9595502844369356,0.1506340922619229,1.0,0.0,-0.5,-0.0,0.013422181151737211,-0.0001704251217452363
2024-11-18,0.7245784434179858,0.9800203320884702,1.0,1.0,0.5,0.32883747668673274,0.0011403123448481267,0.00021055869577122304
2024-11-20,0.8363338241619971,0.9973178371777243,1.0,1.0,0.5,0.3595350437731027,-0.0020960696120325695,-0.0007689592632567852
2024-11-22,0.9996484447994732,0.7585841005639667,1.0,1.0,0.5,0.3496582819579368,0.01305088708833968,0.00455841237642829
2024-11-25,0.22044270679254135,0.9456592905992971,-1.0,1.0,0.5,-0.3432435325413813,0.009404379438592514,-0.0035744433271116855
2024-11-26,0.002542474652434677,0.18613407841664928,-1.0,0.0,-0.5,0.0,-0.0005530800860615859,-0.00017162176627069065
2024-11-29,0.033062128548326575,0.9645272425485392,-1.0,1.0,0.5,-0.4342590783727991,0.00952264260106972,-0.0043524235388004906
2024-12-02,0.994964267052555,0.22366956136689875,1.0,0.0,-0.5,-0.0,0.012771833107112718,-0.00021712953918639954
2024-12-03,0.9125676869665889,0.8225982814751128,1.0,1.0,0.5,0.431241637480885,0.0014836497506194313,0.00042419072916478765
2024-12-09,0.008457694582375809,0.7310498426524616,-1.0,1.0,0.4620996853049233,-0.5,0.004133784664764217,-0.0025325131511225512
2024-12-10,0.7710878005240499,0.013210484529586727,1.0,0.0,-0.5,-0.0,-0.005166060007357087,-0.00025
2024-12-11,0.9914135305241469,0.0008926288953647752,1.0,0.0,-0.5,-0.0,0.00596372191861172,-0.0
2024-12-12,0.9940721426523924,0.09702739679356727,1.0,0.0,-0.5,-0.0,0.0006855505870995149,-0.0
2024-12-16,0.9971756993627728,0.06453109637804261,1.0,0.0,-0.5,-0.0,0.009719555250836232,-0.0
2024-12-17,0.9999022234364331,0.04497235900115968,1.0,0.0,-0.5,-0.0,-0.021421768297346322,0.0
2024-12-18,0.5679656142501968,0.3877785880865341,1.0,0.0,-0.22444282382693181,-0.0,0.007014698277349574,-0.0
2024-12-19,0.8140669221680471,0.7114650152952912,1.0,1.0,0.4229300305905823,0.3568261706024369,0.018815889575554134,0.006535588738422075
2024-12-20,0.5511630461953074,0.9206363645386593,1.0,1.0,0.5,0.43088481339308005,0.0030649377249687415,0.0012836057982892459
2024-12-23,0.9929424021909921,0.07547428376750903,1.0,0.0,-0.5,-0.0,0.011478088022709665,-0.00021544240669654004
2024-12-24,0.7367201585379171,0.902115731285916,1.0,1.0,0.5,0.42821587080724544,0.0,-0.00021410793540362273
2024-12-26,0.9538528033920521,0.7011656634968424,1.0,1.0,0.4023313269936848,0.31833532135044146,-0.013242143728976585,-0.004270382354060897
2024-12-27,0.862340086076793,0.33630955268289325,1.0,0.0,-0.3273808946342135,-0.0,-0.013263480512421766,-0.00015916766067522074
2024-12-30,0.8462683442328155,0.8214609368884092,1.0,1.0,0.5,0.3744768891608267,-0.007057864764119737,-0.0028302456855657846
2024-12-31,0.595152319620404,0.2276276337451528,1.0,0.0,-0.5,-0.0,0.0,-0.00018723844458041336
2025-01-02,0.440718009553009,0.0326729698743301,-1.0,0.0,-0.5,0.0,-0.002009429038061228,-0.0
2025-01-06,0.9963540750103501,0.7878342753779521,1.0,1.0,0.5,0.3260167240394759,-0.011387714496238432,-0.0038755937363802425
2025-01-07,0.9893355679775447,0.005793155616118414,1.0,0.0,-0.5,-0.0,0.002022971646596483,-0.00016300836201973797
2025-01-10,0.9803018443725785,0.9564389273726669,1.0,1.0,0.5,0.3089448083013132,-0.010344148734474867,-0.003350243451963266
2025-01-13,0.9311522754140775,0.9993840705492272,1.0,1.0,0.5,0.3191725443417191,-0.00477817804434344,-0.001530177111751038
2025-01-14,0.8828167555429713,0.9923495254382778,1.0,1.0,0.5,0.3089695869009851,0.01967584949558754,0.006074137611857271
2025-01-15,0.9668991508657506,0.02235269448715087,1.0,0.0,-0.5,-0.0,-0.040400149273495556,-0.00015448479345049254
2025-01-16,0.1551460579663959,0.9998303532461122,-1.0,1.0,0.5,-0.2701407440952828,0.007535254651194867,-0.0021706496704688638
2025-01-17,0.3115465879238493,0.008022092104117187,-1.0,0.0,-0.5,0.0,0.0,-0.0001350703720476414
2025-01-21,0.9995096640449244,0.011395639656097961,1.0,0.0,-0.5,-0.0,0.005345022645830477,-0.0
2025-01-22,0.9998631464813277,0.6810458367248003,1.0,1.0,0.3620916734496007,0.18706399091891013,-0.00075945639860997,-0.0002355989403123387
2025-01-24,0.9956929528057923,0.022784593823596627,1.0,0.0,-0.5,-0.0,0.0317802621637584,-9.353199545945507e-05
2025-01-27,0.9977765407826651,0.8351403093222362,1.0,1.0,0.5,0.1974756743605865,0.03654397781653196,0.007117808825957668
2025-01-28,0.999176905256501,0.03241618571703884,1.0,0.0,-0.5,-0.0,0.004616767012398215,-9.873783718029326e-05
2025-01-29,0.9956324637819606,0.2209740608761676,1.0,0.0,-0.5,-0.0,-0.007394758446996441,0.0
2025-01-30,0.30430944883226707,0.004510888299007209,-1.0,0.0,-0.5,0.0,-0.006692095667732989,-0.0
2025-01-31,0.7005366399445951,0.8514043162143115,1.0,1.0,0.5,0.19197515355303038,-0.03385603719127683,-0.006595505515268992
2025-02-03,0.9880860624110532,0.06883180928995446,1.0,0.0,-0.5,-0.0,0.021007919138235298,-9.59875767765152e-05
2025-02-04,0.007340315492523514,0.9236955918514931,-1.0,1.0,0.5,-0.1861912151955373,-0.0014174351429195875,0.0001708183641232894
2025-02-06,0.9953097543178857,0.6782264732733203,1.0,1.0,0.3564529465466406,0.13259720118441845,-0.02396882780573384,-0.003337593690901551
2025-02-07,0.9059207258491221,0.546631367563611,1.0,0.0,0.09326273512722194,0.0,0.0011874050171847284,-6.629860059220922e-05
2025-02-11,0.4556279352745845,0.9623888107153894,-1.0,1.0,0.5,-0.18188480943884727,0.018270080537830635,-0.0034139925217751407
2025-02-12,0.9997994232777658,0.9991434128485551,1.0,1.0,0.5,0.20018636805724516,0.01967330050413918,0.003747290986874346
2025-02-13,0.9843259556336734,0.9491602073311736,1.0,1.0,0.5,0.19913322766981675,0.01271062034444026,0.002530580284680313
2025-02-14,0.28531140768547086,0.9894538133662171,-1.0,1.0,0.5,-0.19913322766981675,0.0,-0.00019913322766981675
2025-02-20,0.6889563424427811,0.11488929789132565,1.0,0.0,-0.5,-0.0,-0.0011389815035128814,-9.956661383490837e-05
2025-02-24,0.9966655666072006,0.909399288990346,1.0,1.0,0.5,0.27312468651328886,-0.00024284399473972762,-0.00020288903319156732
2025-02-26,0.006175201800108979,0.17056555116392044,-1.0,0.0,-0.5,0.0,-0.012730873159711109,-0.00013656234325664445
2025-02-27,0.014695631074763349,0.022471155989932518,-1.0,0.0,-0.5,0.0,0.019131905122169668,0.0
2025-02-28,0.03955579733990145,0.139584422077226,-1.0,0.0,-0.5,0.0,-0.015754251313333967,-0.0
2025-03-03,0.0031302525820916323,0.03179611322641153,-1.0,0.0,-0.5,0.0,-0.0088223823459046,-0.0
2025-03-04,0.21394463583767,0.2644401432369823,-1.0,0.0,-0.47111971352603543,0.0,-0.0008052953828132647,-0.0
2025-03-07,0.7178426337343136,0.6435681787387684,1.0,1.0,0.28713635747753674,0.12631601373494641,-0.04847955156408401,-0.0061869017081003525
2025-03-10,0.3284034301392058,0.9987348139799948,-1.0,1.0,0.5,-0.21510674925380938,-0.02918934700724396,0.006108114166075279
2025-03-11,0.0034304074882605395,0.6117157315193572,-1.0,1.0,0.22343146303871442,-0.09838926994012308,-0.01747876781169988,0.0016613644647892308
2025-03-12,0.02534563809842693,0.9993180723572818,-1.0,1.0,0.5,-0.21726266783082873,-0.03364361039356367,0.007250063850621289
2025-03-13,0.9999377632553567,0.022056760798934788,1.0,0.0,-0.5,-0.0,0.018170583894774106,-0.00010863133391541437
2025-03-14,0.9986428029698328,0.9997930259099049,1.0,1.0,0.5,0.21216669106158295,0.002388816946306438,0.00040074404151888053
2025-03-18,0.9990047809701316,0.999384269517929,1.0,1.0,0.5,0.20808106539557758,0.011989299247109786,0.002492703347851998
2025-03-19,0.9549844682854216,0.9999440366643161,1.0,1.0,0.5,0.2098820994690507,-0.005296369796450651,-0.001112513729480268
2025-03-20,0.9995252451158838,0.9756294431738296,1.0,1.0,0.5,0.19984797152813477,0.0194768206351692,0.0038873860317854246
2025-03-21,0.04897174802030583,0.8890626479152405,-1.0,1.0,0.5,-0.1977856972939119,0.011270452024841005,-0.002427951046961783
2025-03-24,0.3961606655786387,0.9940793524652102,-1.0,1.0,0.5,-0.19325359527525826,0.013681912241200633,-0.0026463447818619156
2025-03-25,0.9992049451372486,0.9253184730103715,1.0,1.0,0.5,0.20003749659388675,-0.009921878605060552,-0.0021813933035993304
2025-03-26,0.16066163157307042,0.3753624776585106,-1.0,0.0,-0.24927504468297879,0.0,0.010472673711788838,-0.00010001874829694337
2025-03-27,0.04936417628245661,0.9576129494807032,-1.0,1.0,0.5,-0.19876358047224923,-0.02658029581236332,0.0051838129754407415
2025-03-28,0.006873695013094296,0.8750598020063302,-1.0,1.0,0.5,-0.19295052398881796,0.019412618437147255,-0.003748581427684267
2025-03-31,0.15810575781470185,0.9433787930881573,-1.0,1.0,0.5,-0.1926271580268566,0.004771943413171442,-0.0009193675809251736
2025-04-01,0.9784101692029205,0.07513170207982857,1.0,0.0,-0.5,-0.0,0.0031363286964034565,-9.631357901342829e-05
2025-04-02,0.9948284934469717,0.2489328125384632,1.0,0.0,-0.5,-0.0,-0.09245607048480542,0.0
2025-04-03,0.09823502966475132,0.9975436292072954,-1.0,1.0,0.5,-0.12119181352227539,-0.07288742745362853,0.008772763609317386
2025-04-04,1.9417362965266736e-06,0.9968634907554399,-1.0,1.0,0.5,-0.1236964364083618,-0.0367342786061855,0.004542647046174027
2025-04-07,1.1828581394197638e-05,0.8784352887601802,-1.0,1.0,0.5,-0.11982781351298566,-0.049818154997102404,0.005967666275106113
2025-04-08,0.9997308214830534,0.9999968717585204,1.0,1.0,0.5,0.07795053035666803,0.15328847459654016,0.011850028720430113
2025-04-09,0.2823667389900226,0.01570444455444825,-1.0,0.0,-0.5,0.0,-0.042393726837042345,-3.8975265178334015e-05
2025-04-10,0.9776548991338893,0.9999627161206824,1.0,1.0,0.5,0.07621045907142954,0.04059436926686022,0.003055610288006833
2025-04-11,6.255089822589256e-07,0.7708944834802665,-1.0,1.0,0.5,-0.07575546034811656,0.02205407661995684,-0.001746699686607238
