Date,port_ret,loss,VaR,ES,sigma_next,breach
2015-03-09,0.002913991060215948,-0.002913991060215948,0.011008588892145189,0.016586908323698964,0.0041099260481539815,0
2015-03-10,-0.0101769767843633,0.0101769767843633,0.014975577352746981,0.022565067558696094,0.005590954121423923,0
2015-03-11,0.0018023234820583323,-0.0018023234820583323,0.014644696711276137,0.02206902908017955,0.00546742375735924,0
2015-03-12,0.006530859371590481,-0.006530859371590481,0.015690240114544837,0.02364472160322231,0.0058577649814713665,0
2015-03-13,-0.0045742240820946245,0.0045742240820946245,0.015258143864151346,0.022991666889028543,0.005696446975045219,0
2015-03-16,0.008129268606317908,-0.008129268606317908,0.015401393154701716,0.0232060376092312,0.005749927399456552,0
2015-03-17,0.0018506873314162453,-0.0018506873314162453,0.015230816208973845,0.022948854255580436,0.005686244520795143,0
2015-03-18,0.015723864423114742,-0.015723864423114742,0.015700539772625702,0.02365458386851113,0.005861610242047519,0
2015-03-19,-0.005115674539835469,0.005115674539835469,0.015270590136034514,0.023006611377065535,0.005701093646644972,0
2015-03-20,0.010012559050052161,-0.010012559050052161,0.018045213432834425,0.02718735108777055,0.006736966334006453,0
2015-03-23,0.0013306800173085165,-0.0013306800173085165,0.01781453040305751,0.02684461665439063,0.006650843557192984,0
2015-03-24,0.0007393227493246446,-0.0007393227493246446,0.01847895019807048,0.02784372885010044,0.006898896806357302,0
2015-03-25,-0.011645555023808929,0.011645555023808929,0.017937267018222357,0.02702795420841826,0.006696665817747576,0
2015-03-26,-0.005063578723830897,0.005063578723830897,0.017397589228647287,0.026211374344876665,0.006495183521485257,0
2015-03-27,0.0038399189503904307,-0.0038399189503904307,0.018517449202815322,0.027893878650108467,0.0069132699605802235,0
2015-03-30,0.005250174230263693,-0.005250174230263693,0.018258133531843142,0.027507326075066833,0.006816457527523751,0
2015-03-31,-0.004666064814358495,0.004666064814358495,0.01788030195530187,0.026943424424130644,0.006675398586136797,0
2015-04-01,0.005501140770254431,-0.005501140770254431,0.017674518472373047,0.026637787503467607,0.006598571760135432,0
2015-04-02,0.0018205421147169942,-0.0018205421147169942,0.017407401520500278,0.026232277956838298,0.006498846818347473,0
2015-04-06,0.006247144463045473,-0.006247144463045473,0.017258731095900277,0.026004104858368484,0.006443342483268579,0
2015-04-07,-0.0012739360050186277,0.0012739360050186277,0.01677553939807088,0.025283032381563025,0.006262948589185414,0
2015-04-08,0.004907505685304625,-0.004907505685304625,0.016773002463541752,0.025267097156042247,0.006262001466421289,0
2015-04-09,-0.0008496173962027065,0.0008496173962027065,0.016283495234778792,0.024540520886442728,0.006079249739912616,0
2015-04-10,0.003890655056535297,-0.003890655056535297,0.01611243134658969,0.02428484454914679,0.006015385064922426,0
2015-04-13,-0.0030919873990930546,0.0030919873990930546,0.015631524370659514,0.023555303326310426,0.005835844156052326,0
2015-04-14,0.0017388548607303878,-0.0017388548607303878,0.015368801037550957,0.02316616900730306,0.0057377595103875615,0
2015-04-15,0.00470115023545592,-0.00470115023545592,0.015038069568494485,0.022663954302756452,0.005614284844187133,0
