Date,SPY,TLT,SHY,ret_SPY,ret_TLT,ret_SHY,p_risk_off,w_regime_SPY,w_regime_TLT,w_regime_SHY,w_bench_SPY,w_bench_TLT,w_bench_SHY,ret_regime,ret_benchmark
2022-02-01,429.7202453613281,124.14787292480469,75.77851104736328,0.00675683984805997,-0.0033193268638115336,-8.224894591479792e-05,0.4068579843194071,0.40305015460755744,0.40305015460755744,0.0,0.5161949487460252,0.34412996583068356,0.0,0.001396766555403667,0.0023701238447999687
2022-02-02,433.8945617675781,124.5683364868164,75.79634857177734,0.009714032446249021,0.003386796342990106,0.0002353902731464519,0.23673678353464855,0.6246533450906028,0.1561633362726507,0.0,0.503933190847986,0.33595546056532405,0.0,0.00528029106898997,0.006179832590497409
2022-02-03,423.6958923339844,123.59596252441406,75.73391723632812,-0.02350494874157194,-0.007805948042866051,-0.0008236720716182644,0.6317888252293826,0.3518772729121322,0.3518772729121322,0.0,0.45787885209408263,0.30525256806272183,0.0,-0.015901447746750997,-0.014467374689948756
2022-02-04,425.6882019042969,121.77388000488281,75.58220672607422,0.0047022159203329306,-0.014742249522684325,-0.0020032043209978756,0.2603049420090907,0.5963342180606404,0.1490835545151601,0.0,0.4828380186811251,0.3218920124540834,0.0,-0.003532859643941579,-0.002347064297920263
2022-02-07,424.3220520019531,121.85271453857422,75.60005187988281,-0.0032092735862360167,0.0006473845925598631,0.00023610257733364115,0.3551015230522121,0.597774693025135,0.14944367325628374,0.0,0.4837854449082352,0.3225236299388235,0.0,-0.001817285258393549,-0.0013411713704530059
2022-02-08,427.81329345703125,121.03797912597656,75.5197525024414,0.00822781054768762,-0.006686231124869546,-0.0010621603483683684,0.15795708068258174,0.5855887768864444,0.1463971942216111,0.0,0.48349378040016194,0.3223291869334413,0.0,0.003919161984871936,0.0018240274534308569
2022-02-09,434.0748596191406,121.26581573486328,75.51079559326172,0.014636212239950597,0.0018823563523775455,-0.00011860352931369889,0.037657934446274625,0.549545330070404,0.137386332517601,0.0,0.4625843041206225,0.308389536080415,0.0,0.008846373312356376,0.007683255979213688
2022-02-10,426.27642822265625,119.33853149414062,75.12711334228516,-0.01796563708694565,-0.015893054683576158,-0.00508115757438532,0.3856654166712423,0.5334883729803945,0.13337209324509863,0.0,0.43886862920531117,0.29257908613687417,0.0,-0.012056420458348848,-0.013211873490717122
2022-02-11,417.8707580566406,121.10812377929688,75.3591079711914,-0.019718824709737626,0.014828339707223082,0.0030880279912961495,0.7374018592854209,0.13105333909680514,0.39316001729041544,0.13105333909680514,0.43782639613751856,0.29188426409167906,0.0,-0.00854207700538177,-0.004315511489435916
2022-02-14,416.5046081542969,119.60140991210938,75.1984634399414,-0.003269312044463679,-0.012441063573351063,-0.0021317201805441943,0.5717321988058168,0.32827106387810906,0.32827106387810906,0.0,0.43567690653953745,0.2904512710263583,0.0,-0.00559915207726659,-0.005062741795901885
