Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,w_base_SPY,w_base_QQQ,w_base_IWM,w_base_EFA,w_base_EEM,w_base_TLT,w_base_LQD,w_base_GLD,base_ret,sigma_ann,leverage,port_ret,base_eq,port_eq
2025-01-31,596.5924682617188,520.3240356445312,224.71240234375,77.89105987548828,42.310123443603516,84.34761810302734,103.12492370605469,258.55999755859375,-0.005336049469581994,-0.00145407616107196,-0.009010902120843767,-0.009420451182632128,-0.0114046534467529,-0.006587028690546504,-0.0032517675616681174,0.001974448600582157,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.005443715572590258,0.10297344472800272,0.9762900714047105,-0.005314645465071078,2.6892909655749673,2.340439596979051
2025-02-03,592.57763671875,516.1597900390625,222.08309936523438,76.97689056396484,42.00309371948242,85.03437042236328,103.2876968383789,259.94000244140625,-0.0067523507033602215,-0.008035374809356455,-0.011769739492864417,-0.011805927914409153,-0.007283106768198433,0.008108962333511549,0.0015771629238141571,0.005323078655223412,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.0034763527742427596,0.1030964826215403,0.9711241598661007,-0.003375970167284688,2.679942041466045,2.332538342721318
2025-02-04,596.5527954101562,522.495849609375,225.1588897705078,77.87140655517578,42.755802154541016,85.2947998046875,103.48995208740234,262.5,0.006685849410039246,0.012200652314226623,0.013754696440253511,0.011553578027210243,0.01776163352820692,0.0030579563667076926,0.00195625895328444,0.009800237486044416,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.009410029540530593,0.102240397566063,0.9699651962627353,0.009127401150118893,2.70516037524315,2.3538283558733686
2025-02-05,598.9714965820312,524.8668823242188,227.609619140625,78.6282958984375,42.64685821533203,86.70304870605469,104.21231079101562,264.1300048828125,0.0040462657062558804,0.004527632486735378,0.010825634981866727,0.009672801069831038,-0.0025513022154450837,0.01637555798470558,0.006955741416106775,0.0061903426424301244,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.007118742782608271,0.10309796085679528,0.9780869634762976,0.006962749512010133,2.72441771614021,2.3702174731095815
2025-02-06,601.0533447265625,527.6065673828125,226.86546325683594,79.0018310546875,42.82513427734375,86.66445922851562,104.01969146728516,263.42999267578125,0.0034696785623502535,0.0052061954579407654,-0.0032747958145851186,0.0047393967468245535,0.004171572823862935,-0.0004451754384211526,-0.0018500458774912687,-0.0026537744373777983,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0010575796327285105,0.10286030853071083,0.9699512887447077,0.0010258007277151734,2.7272990048278447,2.3726488439183404
2025-02-07,595.5515747070312,520.9515991210938,224.2361602783203,78.2547607421875,42.78551483154297,86.10501861572266,103.56700897216797,263.8999938964844,-0.009195698094933924,-0.012693730942368475,-0.011657385462386927,-0.009501362380528455,-0.0009255729057451312,-0.006476173628068516,-0.00436138935418473,0.0017825701444094122,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.006484182352694727,0.1020486131889162,0.9721923006884932,-0.006303872159550013,2.709614700750218,2.3576919689267752
2025-02-10,599.5960693359375,527.2578125,225.24819946289062,78.78557586669922,43.3005256652832,85.84458923339844,103.59590911865234,268.3699951171875,0.006768218284159744,0.012032499219749582,0.004503119509373654,0.006760265006378496,0.011965168221417688,-0.0030291384169647273,0.0002790088780191269,0.016796386802506724,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0069163467307376495,0.10293129878563419,0.979925124654818,0.006777501932274034,2.7283553355273105,2.3736712308018832
2025-02-11,600.0521240234375,526.0025634765625,223.93850708007812,79.15910339355469,43.13215637207031,85.2947998046875,103.36475372314453,267.3900146484375,0.0007603140854026691,-0.0023835504427145437,-0.005831410747968668,0.004729861429605187,-0.0038959685667783184,-0.006425070501251184,-0.0022338108938591006,-0.00365828558987058,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.0024367794404252232,0.10019460317475694,0.9715217934659609,-0.0023673843322428935,2.7217069353395233,2.368051838720187
2025-02-12,598.1190795898438,526.3114013671875,221.87472534179688,79.45399475097656,43.36985397338867,84.13734436035156,102.80611419677734,267.6700134277344,-0.0032266609394318024,0.0005869691172222247,-0.009258569870262967,0.003718377620052671,0.005495784401925885,-0.013662973526401778,-0.00541920300543719,0.0010466070727144228,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.0027268345550092183,0.10027458616114672,0.9980577479366078,-0.0027215383549682227,2.7142852908196313,2.361607094814557
2025-02-13,604.4337158203125,533.8828125,224.3750762939453,80.41731262207031,43.64716720581055,85.53593444824219,103.60552978515625,270.30999755859375,0.01050214891842316,0.014283307257193734,0.011206176938423518,0.012051312343417386,0.006373791414349128,0.016486058081518706,0.007745876830767884,0.009814510830151058,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.011069534523608517,0.1024449692614075,0.9972616574980879,0.011039222346746137,2.744331165553282,2.387677400629868
